Designator,Mid X,Mid Y,Rotation,Layer
AM1,300.235096,-162.1576,180.0,bottom
AM2,290.009596,-195.9864,180.0,bottom
AM3,279.915096,-232.548144,180.0,bottom
AM4,137.675096,-162.1576,180.0,bottom
AM5,127.449596,-195.9864,180.0,bottom
AM6,117.355096,-232.548144,180.0,bottom
C1,381.491096,-149.606,180.0,bottom
C10,249.411096,-172.791636,0.0,bottom
C100,132.113896,-165.0096,270.0,bottom
C101,122.055496,-198.8424,270.0,bottom
C102,111.692296,-235.396,270.0,bottom
C11,269.731096,-172.791636,0.0,bottom
C12,290.051096,-172.791636,0.0,bottom
C13,310.371096,-172.791636,0.0,bottom
C14,330.691096,-172.791636,0.0,bottom
C15,351.011096,-172.791636,0.0,bottom
C16,371.331096,-172.791636,0.0,bottom
C17,361.171096,-184.801272,180.0,bottom
C18,340.851096,-184.801272,180.0,bottom
C19,320.531096,-184.801272,180.0,bottom
C2,361.171096,-149.606,180.0,bottom
C20,300.211096,-184.801272,180.0,bottom
C21,279.891096,-184.801272,180.0,bottom
C22,259.571096,-184.801272,180.0,bottom
C23,239.251096,-184.801272,180.0,bottom
C24,218.931096,-184.801272,180.0,bottom
C25,229.091096,-207.986908,0.0,bottom
C26,249.411096,-207.986908,0.0,bottom
C27,269.731096,-207.986908,0.0,bottom
C28,290.051096,-207.986908,0.0,bottom
C29,310.371096,-207.986908,0.0,bottom
C3,340.851096,-149.606,180.0,bottom
C30,330.691096,-207.986908,0.0,bottom
C31,351.011096,-207.986908,0.0,bottom
C32,371.331096,-207.986908,0.0,bottom
C33,361.171096,-219.996544,180.0,bottom
C34,340.851096,-219.996544,180.0,bottom
C35,320.531096,-219.996544,180.0,bottom
C36,300.211096,-219.996544,180.0,bottom
C37,279.891096,-219.996544,180.0,bottom
C38,259.571096,-219.996544,180.0,bottom
C39,239.251096,-219.996544,180.0,bottom
C4,320.531096,-149.606,180.0,bottom
C40,218.931096,-219.996544,180.0,bottom
C41,208.771096,-243.182181,0.0,bottom
C42,229.091096,-243.182181,0.0,bottom
C43,249.411096,-243.182181,0.0,bottom
C44,269.731096,-243.182181,0.0,bottom
C45,290.051096,-243.182181,0.0,bottom
C46,310.371096,-243.182181,0.0,bottom
C47,330.691096,-243.182181,0.0,bottom
C48,351.011096,-243.182181,0.0,bottom
C49,218.931096,-149.606,180.0,bottom
C5,300.211096,-149.606,180.0,bottom
C50,198.611096,-149.606,180.0,bottom
C51,178.291096,-149.606,180.0,bottom
C52,157.971096,-149.606,180.0,bottom
C53,137.651096,-149.606,180.0,bottom
C54,117.331096,-149.606,180.0,bottom
C55,97.011096,-149.606,180.0,bottom
C56,76.691096,-149.606,180.0,bottom
C57,66.531096,-172.791636,0.0,bottom
C58,86.851096,-172.791636,0.0,bottom
C59,107.171096,-172.791636,0.0,bottom
C6,279.891096,-149.606,180.0,bottom
C60,127.491096,-172.791636,0.0,bottom
